user_story,title,description,steps,expected_result,roles
"Login y acceso","Login con usuario y contraseña válidos","El usuario puede ingresar al sistema con credenciales correctas","1. Abrir el sistema\n2. Ingresar email válido\n3. Ingresar contraseña correcta\n4. Click en Ingresar","El sistema redirige al inicio y muestra el nombre del usuario","Cajero,Supervisor,Administrador"
"Login y acceso","Login con contraseña incorrecta","El sistema rechaza credenciales inválidas","1. Abrir el sistema\n2. Ingresar email válido\n3. Ingresar contraseña incorrecta\n4. Click en Ingresar","Se muestra mensaje de error. No se accede al sistema","Cajero,Supervisor,Administrador"
"Login y acceso","Cerrar sesión","El usuario puede cerrar sesión desde cualquier pantalla","1. Estar dentro del sistema\n2. Click en el menú de usuario\n3. Click en Cerrar sesión","Se cierra la sesión y se redirige al login","Cajero,Supervisor,Administrador"
"Apertura de caja","Abrir caja con monto inicial","El cajero puede iniciar el turno con un monto de apertura","1. Ingresar al sistema como Cajero\n2. Ir a la sección Caja\n3. Click en Abrir caja\n4. Ingresar el monto inicial\n5. Confirmar","La caja queda en estado Abierta y registra el monto ingresado","Cajero,Supervisor"
"Apertura de caja","Intentar abrir una caja ya abierta","No se puede abrir una caja que ya está en uso","1. Ingresar al sistema\n2. Ir a Caja\n3. Intentar abrir una caja que ya figura como abierta","El sistema muestra un mensaje indicando que la caja ya está abierta","Supervisor"
"Ventas","Registrar una venta simple","El cajero puede registrar una venta con un producto","1. Tener la caja abierta\n2. Ir a Nueva venta\n3. Buscar un producto por código o nombre\n4. Seleccionarlo\n5. Confirmar la venta","La venta queda registrada y se imprime o muestra el comprobante","Cajero"
"Ventas","Registrar venta con múltiples productos","Se pueden agregar varios productos a una misma venta","1. Ir a Nueva venta\n2. Agregar producto 1\n3. Agregar producto 2\n4. Verificar que el total es correcto\n5. Confirmar","Los productos y montos se muestran correctamente. El total suma bien","Cajero"
"Ventas","Cancelar una venta en curso","El cajero puede cancelar una venta antes de confirmarla","1. Iniciar una venta\n2. Agregar al menos un producto\n3. Click en Cancelar venta","La venta se cancela sin registrarse. El stock no se modifica","Cajero,Supervisor"
"Ventas","Aplicar descuento a una venta","Solo el supervisor puede aplicar descuentos","1. Iniciar una venta como Cajero\n2. Intentar aplicar un descuento\n3. El sistema solicita autorización\n4. Un supervisor ingresa su clave\n5. Se ingresa el porcentaje de descuento","El descuento se aplica correctamente y se refleja en el total","Supervisor"
"Cierre de caja","Cerrar caja al fin del turno","El cajero puede cerrar la caja ingresando el monto final","1. Tener la caja abierta con ventas registradas\n2. Ir a Cerrar caja\n3. Contar el efectivo y ingresar el monto\n4. Confirmar el cierre","La caja queda cerrada. Se muestra resumen del turno con ventas, ingresos y diferencia","Cajero,Supervisor"
"Cierre de caja","Ver resumen del cierre","El supervisor puede consultar el resumen de cualquier cierre","1. Ingresar como Supervisor\n2. Ir a Historial de cierres\n3. Seleccionar un cierre","Se muestran los datos del cierre: monto apertura, ventas, monto declarado y diferencia","Supervisor,Administrador"
"Gestión de productos","Buscar un producto por nombre","Se puede buscar productos desde el buscador","1. Ir a la sección Productos\n2. Escribir parte del nombre del producto en el buscador","Se muestran los productos que coincidan con la búsqueda","Cajero,Supervisor,Administrador"
"Gestión de productos","Crear un nuevo producto","El administrador puede agregar productos al catálogo","1. Ingresar como Administrador\n2. Ir a Productos\n3. Click en Nuevo producto\n4. Completar nombre, precio y categoría\n5. Guardar","El producto queda guardado y aparece en el listado y en el buscador","Administrador"
"Gestión de productos","Editar precio de un producto","El administrador puede actualizar el precio de un producto existente","1. Ir a Productos\n2. Buscar el producto a editar\n3. Click en Editar\n4. Modificar el precio\n5. Guardar","El nuevo precio queda guardado y se aplica en las próximas ventas","Administrador"
"Reportes","Ver reporte de ventas del día","El supervisor puede ver las ventas realizadas en el día","1. Ingresar como Supervisor o Administrador\n2. Ir a Reportes\n3. Seleccionar Ventas del día","Se muestra la lista de ventas con detalle de productos, montos y cajero responsable","Supervisor,Administrador"
